Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2845024,Anathem,Neal Stephenson,"Stephenson, Neal",,"=""0061474096""","=""9780061474095""",0,4.17,William Morrow,Hardcover,937,2008,2008,,2024/12/29,to-read,to-read (#131),to-read,,,,0,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",0,4.67,Tor Books,Hardcover,1007,2010,2010,,2018/07/08,currently-reading,currently-reading (#2),currently-reading,,,,1,0
153747,"Moby-Dick or, The Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk, William Hootkins, Rockwell Kent, Anton Lomaev","=""0142437247""","=""9780142437247""",0,3.55,Penguin Classics ,Paperback,720,2003,1851,,2021/08/21,currently-reading,currently-reading (#1),currently-reading,,,,1,0
139399948,"The Running Grave (Cormoran Strike, #7)",Robert Galbraith,"Galbraith, Robert",J.K. Rowling,"=""0316572101""","=""9780316572101""",5,4.60,Mulholland Books,Hardcover,960,2023,2023,2024/12/20,2023/12/13,,,read,,,,1,0
19411657,Catherine de Medici: Now the major TV series THE SERPENT QUEEN,Leonie Frieda,"Frieda, Leonie",,"=""1780222602""","=""9781780222608""",0,3.97,Weidenfeld & Nicolson,Kindle Edition,746,2011,2003,,2024/12/14,to-read,to-read (#130),to-read,,,,0,0
210081845,"The Hallmarked Man (Cormoran Strike, #8)",Robert Galbraith,"Galbraith, Robert",,"=""""","=""""",0,4.41,"Little, Brown & Company",Audiobook,32,2025,,,2024/12/10,to-read,to-read (#129),to-read,,,,0,0
195820745,"Wisteria (Belladonna, #3)",Adalyn  Grace,"Grace, Adalyn",,"=""0316569380""","=""9780316569385""",3,4.28,"Little, Brown and Company",Hardcover,419,2024,2024,2024/12/06,2024/12/02,,,read,,,,1,0
58651856,"Foxglove (Belladonna, #2)",Adalyn  Grace,"Grace, Adalyn",,"=""0316565253""","=""9780316565257""",3,4.14,"Little, Brown and Company",Hardcover,465,2023,2023,2024/12/02,2024/11/13,,,read,,,,1,0
36236124,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393355942""","=""9780393355949""",0,4.18,W. W. Norton & Company,Paperback,224,2018,1996,,2024/11/29,to-read,to-read (#128),to-read,,,,0,0
59227936,"Belladonna (Belladonna, #1)",Adalyn  Grace,"Grace, Adalyn",,"=""0316158232""","=""9780316158237""",3,3.98,"Little, Brown and Company",Hardcover,409,2022,2022,2024/11/13,2024/10/26,,,read,,,,1,0
212622,"Sparkling Cyanide  (Colonel Race, #4)",Agatha Christie,"Christie, Agatha",,"=""0007136854""","=""9780007136858""",0,3.92,HarperCollins,Paperback,336,2002,1945,,2024/11/05,to-read,to-read (#127),to-read,,,,0,0
11289,"The Rise of Endymion (Hyperion Cantos, #4)",Dan Simmons,"Simmons, Dan",,"=""0553572989""","=""9780553572988""",5,4.17,Spectra,Mass Market Paperback,709,1998,1997,2024/10/26,2024/07/29,,,read,,,,1,0
7332,The Silmarillion,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Ted Nasmith","=""0618391118""","=""9780618391110""",4,4.02,Houghton Mifflin Company,Hardcover,386,2004,1977,,2018/07/08,,,read,,,,2,0
110391,"The Duke and I (Bridgertons, #1)",Julia Quinn,"Quinn, Julia",,"=""0380800829""","=""9780380800827""",0,3.79,Avon Books,Mass Market Paperback,384,2006,2000,,2024/10/26,to-read,to-read (#126),to-read,,,,0,0
278040,A Stitch in Time,Andrew Jordt Robinson,"Robinson, Andrew Jordt",,"=""0671038850""","=""9780671038854""",4,4.37,Pocket Books,Mass Market Paperback,396,2000,2000,,2024/04/29,,,read,,,,1,0
